hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number | DE,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."
Rockford Center,2025-01-01,2.0.0,Rockford Center,"100 ROCKFORD DRIVE, NEWARK, DE 19713",08-4002,true
description,code|1,code|1|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,DELAWARE FIRST HEALTH-MEDICARE,DELAWARE FIRST HEALTH-MEDICARE,,,105.000,,2000.00,650.00,1136.00,Other,This service will be charge as a % of Medicare PPS
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,UHCCP DUAL COVERAGE,UHCCP DUAL COVERAGE,,,100.000,,2000.00,650.00,1136.00,Other,This service will be charge as a % of Medicare PPS
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,MAGELLAN PA MEDICAID-MONT/DEL,MAGELLAN PA MEDICAID-MONT/DEL,,817.000,,,817.000,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,AETNA,AETNA,,844.000,,,844.000,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,AETNA MEDICARE,AETNA MEDICARE,,797.000,,,797.000,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,ALLIANCE - ONE NET,ALLIANCE - ONE NET,,683.000,,,683.000,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,AMERIHEALTH ADMINISTRATORS,AMERIHEALTH ADMINISTRATORS,,786.000,,,786.000,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,AMERIHEALTH CARITAS DELAWARE,AMERIHEALTH CARITAS DELAWARE,,831.390,,,831.390,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,AMERIHEALTH CARITAS PLUS DE,AMERIHEALTH CARITAS PLUS DE,,726.000,,,726.000,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,BEACON HEALTH OPTIONS,BEACON HEALTH OPTIONS,,947.600,,,947.600,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,BLUE CROSS BLUE SHIELD DE,BLUE CROSS BLUE SHIELD DE,,959.820,,,959.820,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,BLUE CROSS CAREFIRST,BLUE CROSS CAREFIRST,,650.000,,,650.000,650.00,1136.00,Per diem,
Inpatient - Detox,126,RC,Inpatient,,,2000.00,2000.00,BLUE CROSS EMPIRE,BLUE CROSS EMPIRE,,650.000,,,650.000,650.00,1136.00,Per diem,
