Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"801 Goodyear Avenue, Gadsden, AL 35903-1133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State License # - H2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare (CCN) # - 013032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Financial Aide Policy - Our hospital offers a financial aide policy.  For more information go to the hospital's main website and click on ""For Patients"" and then select ""Financial Assistance""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: SHOPPABLE SERVICE NOT OFFERED AT HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 3: Plan does not pay our hospital for the SHOPPABLE_SERVICES and/or the BILLING_REVENUE_SERVICE_CODE beginning with CMG. The Negotiated Charge for a specific Plan will only be displayed for applicable SHOPPABLE_SERVICES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMBETTER AL EXCHANGE (AALZ) negotiated charge,ASCENSION COMPLETE MCR (ASCM) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,MEDICARE (MCR) negotiated charge,MULTIPLAN WORK COMP (MULW) negotiated charge,PARADIGM WORK COMP (PARW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,THREE RIVERS HEALTH WC (TRPW) negotiated charge,TRICARE (TRI) negotiated charge,TRICARE FOR LIFE (TRIM) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE EXCHANG (UHCZ) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge
Inpatient Rehabilitation Services,"Removal of 1 or more breast growth, open procedure",19120,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with major complications or comorbidities,216,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Shaving of shoulder bone using an endoscope,29826,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Removal of one knee cartilage using an endoscope,29881,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Removal of tonsils and adenoid glands patient younger than age 12,42820,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,"Diagnostic examination of esophagus, stomach, and/or upper small bowel using an endoscope",43235,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,"Biopsy of the esophagus, stomach, and/or upper small bowel using an endoscope",43239,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Diagnostic examination of large bowel using an endoscope,45378,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Biopsy of large bowel using an endoscope,45380,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Removal of polyps or growths of large bowel using an endoscope,45385,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
