hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number | DE,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,
Delaware Psychiatric Center,2024-04-16,2.0.0,New Castle,"1901 N. Dupont Highway, New Castle DE 19802",HSPTL-009,"Clients don't pay, the State of Delaware  Division of Substance Abuse and Mental Health covers all service costs.  ",,,,,,,,,,,,,
description,code | 1 ,code | 1 |type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge | gross,standard_charge | discounted_cash,payer_name,plan_name,modifers,standard_charge|[payer_name]|[plan_name]|negotiated_dollar,standard_charge|[payer_name]|[plan_name]|negotiated_percentage,standard_charge|[payer_name]|[plan_name]|negotiated_algorithm,estimated_amount|[payer_name]|[plan_name],standard_charge|min,standard_charge|max,standard_charge|[payer_name]|[plan_name]|methodology,additional_generic_notes,additional_payer_notes|[payer_name]|[plan_name]
Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with major complications or comorbidities,216,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Spinal fusion except cervical without major comorbid conditions or complications (MCC),460,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications (MCC).,470,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Cervical spinal fusion without comorbid conditions (CC) or major comorbid conditions or complications (MCC).,473,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Uterine and adnexa procedures for non-malignancy without comorbid conditions (CC) or major comorbid conditions or complications (MCC),743,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Removal of 1 or more breast growth, open procedure""",19120,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Shaving of shoulder bone using an endoscope,29826,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Removal of one knee cartilage using an endoscope,29881,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
