hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
PSA SCREENING,G0103,CPT,Outpatient,,,167,100,,,33.4,33.4,33.4,33.4,33.4,33.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,33.4,125,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,33.4,33.4,33.4,33.4,33.4,33.4,N/A,,,,,,
NERVE BLOCK PERIPHERAL,64450,CPT,Outpatient,,,1434,860,,,286.8,286.8,286.8,286.8,286.8,286.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,286.8,1076,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,286.8,286.8,286.8,286.8,286.8,286.8,N/A,,,,,,
NERVE BLOCK TRIGEMINAL,64400,CPT,Outpatient,,,800,480,,,160,160,160,160,160,160,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,160,600,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,160,160,160,160,160,160,N/A,,,,,,
I AND D PILONIDAL CYST,10081,CPT,Outpatient,,,1910,1146,,,382,382,382,382,382,382,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,382,1433,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,382,382,382,382,382,382,N/A,,,,,,
APPLY LONG LEG SPLINT,29505,CPT,Outpatient,,,333,200,,,66.6,66.6,66.6,66.6,66.6,66.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,66.6,250,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,66.6,66.6,66.6,66.6,66.6,66.6,N/A,,,,,,
REMOVE FOREIGN BODY CO,65220,CPT,Outpatient,,,1133,680,,,226.6,226.6,226.6,226.6,226.6,226.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,226.6,850,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,226.6,226.6,226.6,226.6,226.6,226.6,N/A,,,,,,
DRAIN ABSCESS DENTOALV,41800,CPT,Outpatient,,,350,210,,,70,70,70,70,70,70,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,70,263,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,70,70,70,70,70,70,N/A,,,,,,
EKG,93005,CPT,Both,,,216,130,,,43.2,43.2,43.2,43.2,43.2,43.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,43.2,162,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,43.2,43.2,43.2,43.2,43.2,43.2,N/A,,,,,,
FETAL NON-STRESS TEST,59025,CPT,Outpatient,,,522,313,,,104.4,104.4,104.4,104.4,104.4,104.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,104.4,392,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,104.4,104.4,104.4,104.4,104.4,104.4,N/A,,,,,,
HOLTER MONITOR 1-2 DAY,93225,CPT,Outpatient,,,675,405,,,135,135,135,135,135,135,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,135,506,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,135,135,135,135,135,135,N/A,,,,,,
