hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
I&D ABSCESS CYST COMP / MULT - ER,10021,CPT,,,,BOTH,,,137,68.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,116.45,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
FINE NEEDLE ASPIRATION WITHOUT GUIDANCE,10021,CPT,,,,BOTH,,,138,69,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,117.3,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
FINE NEEDLE ASPIRATION W/O GUIDE PROFEE,10021,CPT,,,,BOTH,,,138,69,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,117.3,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
I&D ABSCESS CYST COMP / MULT - PHY,10021,CPT,,,,BOTH,,,248,124,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,210.8,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
I&D ABSCESS CYST SIMPLE - ER,10060,CPT,,,,BOTH,,,241,120.5,97.94,,,,FEE SCHEDULE,,88.15,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,97.94,,,,FEE SCHEDULE,,,85,,204.85,PERCENTAGE OF TOTAL BILLED CHARGES,,88.15,286.51,
I&D ABSCESS CYST SIMPLE - PHY,10060,CPT,,,,BOTH,,,241,120.5,97.94,,,,FEE SCHEDULE,,88.15,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,97.94,,,,FEE SCHEDULE,,,85,,204.85,PERCENTAGE OF TOTAL BILLED CHARGES,,88.15,286.51,
PARONYCHIA SIMPLE,10060,CPT,,,,BOTH,,,240,120,97.94,,,,FEE SCHEDULE,,88.15,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,97.94,,,,FEE SCHEDULE,,,85,,204,PERCENTAGE OF TOTAL BILLED CHARGES,,88.15,286.51,
I & D  OF ABSCESS COMPLICATED OR MUL- ER,10061,CPT,,,,BOTH,,,440,220,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,374,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,383.49,
I & D OF ABSCESS COMPLICATED OR MU - PHY,10061,CPT,,,,BOTH,,,440,220,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,374,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,383.49,
I & D PILONIDAL CYST - ER,10080,CPT,,,,BOTH,,,246,123,648.97,,,,FEE SCHEDULE,,584.07,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,648.97,,,,FEE SCHEDULE,,,85,,209.1,PERCENTAGE OF TOTAL BILLED CHARGES,,584.07,648.97,
PILONIDAL SIMPLE,10080,CPT,,,,BOTH,,,246,123,648.97,,,,FEE SCHEDULE,,584.07,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,648.97,,,,FEE SCHEDULE,,,85,,209.1,PERCENTAGE OF TOTAL BILLED CHARGES,,584.07,648.97,
I & D PILONIDAL CYST - PHY,10080,CPT,,,,BOTH,,,246,123,648.97,,,,FEE SCHEDULE,,584.07,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,648.97,,,,FEE SCHEDULE,,,85,,209.1,PERCENTAGE OF TOTAL BILLED CHARGES,,584.07,648.97,
PILONIDAL COMPICAT,10081,CPT,,,,BOTH,,,415,207.5,648.97,,,,FEE SCHEDULE,,584.07,,,,FEE SCHEDULE,,341.31,,,,FEE SCHEDULE,,648.97,,,,FEE SCHEDULE,,,85,,352.75,PERCENTAGE OF TOTAL BILLED CHARGES,,341.31,648.97,
PILONIDAL COMPICAT,10081,CPT,,,,BOTH,,,415,207.5,648.97,,,,FEE SCHEDULE,,584.07,,,,FEE SCHEDULE,,341.31,,,,FEE SCHEDULE,,648.97,,,,FEE SCHEDULE,,,85,,352.75,PERCENTAGE OF TOTAL BILLED CHARGES,,341.31,648.97,
FB REM SOFT TISSUE-ER,10120,CPT,,,,BOTH,,,148,74,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,125.8,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
FB REMOVAL SUBQ SI,10120,CPT,,,,BOTH,,,246,123,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,209.1,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
FB REM SOFT TISSUE - PHY,10120,CPT,,,,BOTH,,,148,74,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,125.8,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
FB REM SOFT TISSUE COMPLICATED -ER,10121,CPT,,,,BOTH,,,448,224,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,380.8,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,1499.55,
FB REM SOFT TISSUE COMPLICATED - PHY,10121,CPT,,,,BOTH,,,448,224,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,380.8,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,1499.55,
I&D HEM SIMPLE,10140,CPT,,,,BOTH,,,286,143,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,243.1,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,1499.55,
ER/PRO FEE DRAINAG,10140,CPT,,,,BOTH,,,286,143,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,243.1,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,1499.55,
"PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA",10160,CPT,,,,BOTH,,,228,114,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,193.8,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
"PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA",10160,CPT,,,,BOTH,,,228,114,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,193.8,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
DEBRIDEMENT SKIN/SUBCU TISSUE,11042,CPT,,,,BOTH,,,149,74.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,126.65,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
DEBRIDEMENT SKIN SUBCU TISSUE,11042,CPT,,,,BOTH,,,90,45,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,76.5,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
DEBRIDEMENT BONE -ER,11044,CPT,,,,BOTH,,,557,278.5,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,473.45,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,1499.55,
DEBRIDEMENT BONE-ER PHY,11044,CPT,,,,BOTH,,,557,278.5,1499.55,,,,FEE SCHEDULE,,1349.6,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,1499.55,,,,FEE SCHEDULE,,,85,,473.45,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,1499.55,
EXCISION SKIN TAGS>15 ER,11200,CPT,,,,BOTH,,,175,87.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,148.75,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
EXCISION SKIN TAGS>15 ER PRO FEE,11200,CPT,,,,BOTH,,,175,87.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,148.75,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
EXCISION LESION-ER,11401,CPT,,,,BOTH,,,248,124,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,210.8,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
EXCISIN LESION-PHY,11401,CPT,,,,BOTH,,,248,124,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,210.8,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
EXCISION OF NAIL  - ER,11730,CPT,,,,BOTH,,,135,67.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,114.75,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
AVUL NAIL PLATE/S,11730,CPT,,,,BOTH,,,135,67.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,114.75,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
NAILS AVULSION,11730,CPT,,,,BOTH,,,135,67.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,114.75,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
