hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,
Dekalb Regional Medical Center,3/12/2025,2,HH HEALTH SYSTEM DEKALB (ACU),"200 Medical Center Dr Fort Payne, AL 35968",H2501,,TRUE,,,,,,,,,,,
description,code|1,code|1|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes
PDPM,2316107,CDM,OUTPATIENT,,,1,1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1,Fee Schedule,negotiated rate
HEPATITIS B GLOB IM,1212517,CDM,BOTH,,,1145.97,1145.97,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,137.58,1494.56,Fee Schedule,negotiated rate
HEPATITIS B GLOB IM,7211770,CDM,BOTH,,,1145.97,1145.97,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,137.58,979.8,Fee Schedule,negotiated rate
RABIES IG IM/SC 150U,1212742,CDM,BOTH,15,UN,3378.39,3378.39,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,277.74,2364.87,Fee Schedule,negotiated rate
RABIES IG HEAT TX,1211503,CDM,BOTH,,,3729.16,3729.16,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,170.9,2888.52,Fee Schedule,negotiated rate
RABIES IG HEAT TX,7211783,CDM,BOTH,,,2395.21,2395.21,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,170.9,3188.43,Fee Schedule,negotiated rate
RABIES RIG-HT SD IM,1216059,CDM,BOTH,,,3225.54,3225.54,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,250.49,2257.88,Fee Schedule,negotiated rate
RABIES VAC IM,7211790,CDM,BOTH,,,3168.51,3168.51,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,324.74,2757.84,Fee Schedule,negotiated rate
DIPTH/TETA/PERT PED,7212326,CDM,BOTH,,,427.12,427.12,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,2709.08,Fee Schedule,negotiated rate
M-M-R II INJ,7210102,CDM,BOTH,,,442.47,442.47,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,365.19,Fee Schedule,negotiated rate
TD IM NO PRSRV GE 7Y,7210784,CDM,BOTH,,,347.16,347.16,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,378.31,Fee Schedule,negotiated rate
DIPH/TET/ACPERT .5ML,7212269,CDM,BOTH,5,ML,319.65,319.65,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,296.82,Fee Schedule,negotiated rate
PANTOPRAZOLE SOD VL,7211805,CDM,BOTH,,,164.72,164.72,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,273.3,Fee Schedule,negotiated rate
LACOSAMIDE 1MG INJ,1211616,CDM,BOTH,1,UN,3.22,3.22,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,140.84,Fee Schedule,negotiated rate
BUPIVACAINE LIPO 1MG,1212556,CDM,BOTH,1,ME,11.75,11.75,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,8.23,Fee Schedule,negotiated rate
BUPIVACAINE LIPO 1MG,1214521,CDM,BOTH,1,ME,13.1,13.1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,10.05,Fee Schedule,negotiated rate
IDARUCIZU 2.5GM/50ML,1214216,CDM,BOTH,2,ML,18970.47,18970.47,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,13279.33,Fee Schedule,negotiated rate
ERENUMAB 70MG/ML 1ML,1215086,CDM,BOTH,1,ML,2033,2033,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,16219.75,Fee Schedule,negotiated rate
REMDESIV 5MG/ML 20ML,1215115,CDM,BOTH,2,ML,4634.01,4634.01,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,3243.81,Fee Schedule,negotiated rate
ACETAMINO 10MG INJ,1212192,CDM,BOTH,1,UN,3.8,3.8,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,3962.08,Fee Schedule,negotiated rate
ACTYLCYSTN INJ 100MG,7212201,CDM,BOTH,1,ME,36.73,36.73,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,25.71,Fee Schedule,negotiated rate
ACYCLOVIR 5MG INJ,1210212,CDM,BOTH,5,UN,1.56,1.56,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,31.4,Fee Schedule,negotiated rate
